iau_id1,eng_name,orig_name,foundedyr,yrclosed,private01,divisions,phd_granting,specialized,countrycode,latitude,longitude
IAU-003296-1,University Corporation Of Santa Rosa De Cabal,Corporaci??n Universitaria de Santa Rosa de Cabal (UNISARC),1982,,1,5,0,0,COL,4.9120153,-75.6240828
IAU-003297-1,University Corporation Of The Caribbean,Corporaci??n Universitaria del Caribe (CECAR),1978,,1,5,0,0,COL,9.4092677,-75.326068
IAU-003298-1,University Corporation Of The Huila Region,Corporaci??n Universitaria del Huila (CORHUILA),1989,,1,3,0,0,COL,2.9378907,-75.2902984
IAU-003299-1,University Corporation Of The Meta Region,Corporaci??n Universitaria del Meta (UNIMETA),1982,,1,6,0,0,COL,4.1479535,-73.636392
IAU-003300-1,Alexander Von Humboldt Business University Corporation,Corporaci??n Universitaria Empresarial Alexander von Humboldt (CUE),2001,,1,6,0,0,COL,4.5425573,-75.6628384
IAU-003301-1,Business University Corporation Of Salamanca,Corporaci??n Universitaria Empresarial de Salamanca (CUES),1999,,1,4,0,0,COL,11.0011355,-74.8117479
IAU-003302-1,Ibero-American University Corporation,Corporaci??n Universitaria Iberoamericana (IA),1979,,1,3,0,0,COL,4.6495744,-74.0570236
IAU-003303-1,Lasallian University Corporation,Corporaci??n Universitaria Lasallista (UL),1982,,1,3,0,0,COL,6.0997439,-75.6387916
IAU-003304-023360-1,Minute Of God University Corporation\nBello Branch,Seccional Bello,2002,,1,14,0,0,COL,6.3115762,-75.5547238
IAU-003304-1,Minute Of God University Corporation,Corporaci??n Universitaria Minuto de Dios (UNIMINUTO),1988,,1,8,0,0,COL,4.699172,-74.0905372
IAU-003305-1,Augustinian University,Universitaria Agustiniana (UNIAGUSTINIANA),1996,,1,5,0,0,COL,4.653421,-74.145171
IAU-003306-1,Rafael N????Ez University Corporation,Corporaci??n Universitaria Rafael N????ez (CURN),1984,,1,4,0,0,COL,10.4210219,-75.5477762
IAU-003307-1,Reformed University Corporation,Corporaci??n Universitaria Reformada (CUR),2001,,1,4,0,0,COL,10.9856738,-74.8131608
IAU-003308-1,Regional University Corporation Of The Caribbean,Corporaci??n Universitaria Regional del Caribe (CURC IAFIC),1985,,1,1,0,1,COL,10.4224033,-75.5362472
IAU-003309-1,Remington University Corporation,Corporaci??n Universitaria Remington (UNIREMINGTON),1915,,1,8,0,0,COL,6.2505261,-75.5686087
IAU-003310-1,Republican University Corporation,Corporaci??n Universitaria Republicana,1999,,1,8,0,0,COL,4.6056303,-74.0713963
IAU-003311-1,Unitec University Corporation,Corporaci??n universitaria UNITEC (UNITEC),1977,,1,4,0,0,COL,4.6618766,-74.057419
IAU-004616-1,Ecci University,Universidad ECCI (ECCI),1977,,1,4,0,0,COL,4.6379012,-74.0713175
IAU-004617-1,Julio Garavito Colombian School Of Engineering,Escuela Colombiana de Ingenier??a Julio Garavito,1972,,1,13,1,0,COL,4.7827153,-74.0426112
IAU-004620-1,School Of Administration And Marketing Of Quindio,Escuela de Administraci??n y Mercadotecn??a del Quindio (EAM),1971,,1,3,0,1,COL,4.5414523,-75.6634902
IAU-004659-1,Here Is University,Universidad EIA (EIA),1978,,1,3,1,0,COL,6.157042,-75.516863
IAU-004709-1,National School Of Sports,Escuela Nacional del Deporte,1984,,0,3,0,1,COL,3.4263542,-76.537144
IAU-004779-1,School Of Public Administration,Escuela Superior de Administraci??n P??blica (ESAP),1958,,0,3,0,1,COL,40.8077241,-73.9596123
IAU-004806-1,"School Of Ophthalmology, Barraquer Institute Of America","Escuela Superior de Oftalmolog??a, Instituto Barraquer de Am??rica",2005,,1,1,0,1,COL,4.6860128,-74.0516375
IAU-006493-1,Comfanorte Foundation Of Advanced Studies,Fundaci??n de Estudios Superiores Comfanorte,1993,,1,4,0,0,COL,7.8815326,-72.502358
IAU-006494-1,Urab?? Antonio Rold??N Betancur Foundation Of Advanced University Studies,Fundaci??n de Estudios Superiores Universitarios de Urab?? Antonio Rold??n Betancur (FESU),2001,,1,2,0,0,COL,6.8272387,-75.5136036
IAU-006496-1,Colombian School Of Marketing Foundation,Fundaci??n Escuela Colombiana de Mercadotecnia (ESCOLME),1970,,1,10,0,1,COL,40.8094926,-73.9601092
IAU-006497-1,Colombian School Of Rehabilitation,Fundaci??n Escuela Colombiana de Rehabilitaci??n (ECR),1952,,1,2,0,1,COL,4.73253,-74.0397
IAU-006506-1,Antonio De Arevalo Technological Foundation,Fundaci??n Tecnol??gica Antonio de Arevalo (TECNAR),1984,,1,4,0,0,COL,10.4218963,-75.536384
IAU-006511-1,Latina University Institution,Institucion Universitaria Latina (UNILATINA),1978,,1,2,0,0,COL,4.6318923,-74.061516
IAU-006513-1,Agrarian University Foundation Of Colombia,The Green U of Colombia (UNIAGRARIA),1985,,1,13,0,0,COL,4.7542802,-74.0533574
IAU-006514-1,Autonomous University Foundation Of The Americas,Fundaci??n Universitaria Aut??noma de las Am??ricas (UAM),1983,,1,7,0,0,COL,6.2412976,-75.5972937
IAU-006515-1,Fine Arts University Foundation,Fundaci??n Universitaria Bellas Artes,1910,,1,2,0,1,COL,6.2458159,-75.5628601
IAU-006516-1,Catholic University Foundation Of The North,Fundaci??n Universitaria Cat??lica del Norte (UCN),1996,,1,3,0,0,COL,6.6582922,-75.4466629
IAU-006517-1,Lumen Gentium Catholic University Foundation,ampus Pance: Cra. 122 No. 12 - 459 PBX: +57 (2) 555 2767 ext. 127 - 128 - 201 (UNICATOLICA),1996,,1,6,0,0,COL,3.3451575,-76.5403863
IAU-006518-1,Ceipa University Foundation,"CEIPA, Business School",1972,,1,7,0,0,COL,6.1447957,-75.6195074
IAU-006519-1,International Colombo University Foundation,Fundaci??n Universitaria Colombo Internacional (UNICOLOMBO),1961,,1,11,0,0,COL,10.4069547,-75.5015106
IAU-006520-1,University Foundation Of Health Sciences,Fundaci??n Universitaria de Ciencias de la Salud (FUCS),1976,,1,5,0,0,COL,4.6024109,-74.0875344
IAU-006522-1,Popay??N University Foundation,Fundaci??n Universitaria de Popay??n (FUP),1980,,1,4,0,0,COL,2.439543,-76.6097861
IAU-006523-1,San Gil University Foundation,Fundaci??n Universitaria de San Gil (UNISANGIL),1988,,1,4,0,0,COL,6.5386716,-73.1271304
IAU-006524-023355-1,University Foundation Of The Andean Region\nPereira Branch,Seccional Pereira,1983,,1,7,0,0,COL,4.65782,-74.062776
IAU-006525-1,Abraham Escudero Montoya University Foundation,Fundaci??n de Estudios Superiores Monse??or Abraham Escudero Montoya (FUNDES),1997,,1,5,0,0,COL,4.1502618,-74.8838363
IAU-006526-1,Business University Foundation Of The Chamber Of Commerce Of Bogot??,Fundaci??n Universitaria Empresarial de la Camara de Comercio de Bogot?? (Uniempresarial),2001,,1,6,0,0,COL,4.6519173,-74.0593192
IAU-006527-1,Inpahu University Foundation,Fundaci??n Universitaria INPAHU (UNINPAHU),1974,,1,3,0,0,COL,4.6291816,-74.0698436
IAU-006528-1,International University Foundation Of The American Tropic,Fundaci??n Universitaria Internacional del Tropico Am??ricano (UNITROPICO),2000,,1,6,0,0,COL,5.3216461,-72.3889291
IAU-006529-1,Juan De Castellanos University Foundation,Fundaci??n Universitaria Juan de Castellanos (JDC),1967,,1,5,0,0,COL,5.5248938,-73.3658412
IAU-006530-1,Juan N. Corpas University Foundation,Fundaci??n Universitaria Juan N. Corpas,1971,,1,4,0,0,COL,4.7618501,-74.09319
IAU-006531-1,Konrad Lorenz University Foundation,Fundaci??n Universitaria Konrad Lorenz,1981,,1,2,1,0,COL,4.6485127,-74.0615519
IAU-006532-1,The University Foundation Libertadores,Fundaci??n Universitaria Los Libertadores,1982,,1,5,0,0,COL,4.651689,-74.0659108
IAU-006533-1,Luis Amigo University Foundation,Fundaci??n Universitaria Luis Amig?? (FUNLAM),1984,,1,6,1,0,COL,6.2593518,-75.5837306
IAU-006534-1,Mar??A Ca??O University Foundation,Fundaci??n Universitaria Mar??a Ca??o,1987,,1,3,0,0,COL,6.251067,-75.5599442
IAU-006535-1,Monserrate University Foundation,Fundaci??n Universitaria Monserrate (UNIMONSERRATE),1983,,1,5,0,0,COL,4.6725338,-74.082856
IAU-006536-1,Unipanamericana Panamericana University Foundation,Unipanamericana Fundaci??n Universitaria Panamericana (UNIPANAMERICANA),1981,,1,7,0,0,COL,4.6210785,-74.0730295
IAU-006537-1,San Alfonso University Foundation,Fundaci??n Universitaria San Alfonso (FUSA),2000,,1,4,0,0,COL,4.626531,-74.075892
IAU-006538-1,San Mart??N University Foundation,Fundaci??n Universitaria San Mart??n,1980,,1,12,0,0,COL,4.6683626,-74.0589113
IAU-006539-1,Sanitas University Foundation,Fundaci??n Universitaria Sanitas (UNISANITAS),2001,,1,5,0,0,COL,4.7468955,-74.0274564
IAU-006540-1,Comfenalco Technological University Foundation,Sede A Barrio Espa??a Cr 44 D N?? 30A - 91. Tel??fono PBX 6723700 (TECNOLOGICO COMFENALCO),1984,,1,3,0,0,COL,10.4063845,-75.510962
IAU-007864-1,Antonio Jos?? Camacho University Institution,Instituci??n Universitaria Antonio Jos?? Camacho (UNIAJC),1993,,0,7,0,0,COL,3.4704728,-76.5273852
IAU-007865-1,Esumer University Institution,Instituci??n Universitaria ESUMER,1970,,1,2,0,0,COL,6.277697,-75.590742
IAU-007866-1,University Institute Of Fine Arts And Science Of Bolivar,Instituci??n Universitaria Bellas Artes y Ciencias de Bol??var (UNIBAC),1899,,0,3,0,1,COL,10.4281723,-75.5473306
IAU-007867-1,Mar??A Goretti University Institute - Center Of Higher Studies,Instituci??n Universitaria Centro de Estudios Superiores Mar??a Goretti (CESMAG),1982,,1,5,0,1,COL,7.1050687,-73.1241728
IAU-007868-1,Colombian-American University Institution Unica,??NICA (UNICA),2004,,1,1,0,1,COL,38.9379851,-77.0888687
